Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;EZEIZA MORA HERNAN ARIEL (SIRIS);7.641,50;VERANO MODA;02/01/2023;NEGRO/PELTRE;38;CALZADO;ZUECOS;ZUECOS MODA;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641786 - 703 SIRIS ZUECO MODA 2021;703 SIRIS ZUECO MODA 2021 NEGRO/PELTRE 38;SIRIS
1,00;INDUMENTARIA PAMPEANA S.A.;2.706,39;CLASICO;02/01/2023;NEGRO;32;CALZADO;ZAPATILLAS;DEPORTIVAS;;641702 - FLOKI/K KIOSHI ZAPATILLA DEP 2021;FLOKI/K KIOSHI ZAPATILLA DEP 2021 NEGRO 32;KIOSHI
1,00;;1.079,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.139,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.234,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;RIMON CASSIS E HIJOS S.A.;4.692,05;VERANO MODA;02/01/2023;BEIGE;37;CALZADO;OJOTAS Y CHINELAS;OJOTAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644066 - 61667 AZALEIA OJOTA MODA 2022;61667 AZALEIA OJOTA MODA 2022 BEIGE 37;AZALEIA
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);11.990,00;CLASICO;02/01/2023;CORAL/BLANCO;37;CALZADO;ZAPATILLAS;DEPORTIVAS;;641533 - 4815/101/22066 ACTVITTA ZAPATILLA DEP 2021;4815/101/22066 ACTVITTA ZAPATILLA DEP 2021 CORAL/BLANCO 37;ACTVITTA
1,00;GLOBAL BRANDS S.A.;8.577,50;VERANO;02/01/2023;NEGRO;39;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643992 - 61690 RIDER SANDALIA PLAY 2022;61690 RIDER SANDALIA PLAY 2022 NEGRO 39;RIDER
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);14.866,50;VERANO MODA;02/01/2023;NEGRO;39;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643416 - 1395/101/7286 VIZZANO SANDALIA T/A 2022;1395/101/7286 VIZZANO SANDALIA T/A 2022 NEGRO 39;VIZZANO
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;3.411,00;CLASICO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;MUÑECAS Y MUÑECOS;MUÑECA;; - ;B149 POPPI MUÑECA PEDIATRA 2021 VARIOS UNICO;POPPI
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;5.739,01;CLASICO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;JUEGOS DE AGUA Y PLAYA;PISTOLA DE AGUA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023; - ;5640/01227 X-SHOT PISTOLAS DE AGUA 2021 VARIOS UNICO;X-SHOT
2,00;ZATEL ADRIAN RAMON (Target);5.796,00;COLEGIAL;02/01/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;CARTUCHERAS;; - ;9904 TRENDY CARTUCHERA 2022 VARIOS UNICO;TRENDY
1,00;DESCANSAR S.A.;10.989,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644400 - 50008 DESCANSAR REPOSERA 2022;50008 DESCANSAR REPOSERA 2022 VARIOS UNICO;DESCANSAR
1,00;DESCANSAR S.A.;10.989,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644400 - 50008 DESCANSAR REPOSERA 2022;50008 DESCANSAR REPOSERA 2022 VARIOS UNICO;DESCANSAR
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;11.691,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;CARPA CAMPING;;643871 - 68105/7005 PAVILLO CARPA PLAYA 2022;68105/7005 PAVILLO CARPA PLAYA 2022 VARIOS UNICO;PAVILLO
1,00;;614,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;RIMON CASSIS E HIJOS S.A.;2.615,00;VERANO;02/01/2023;BEIGE;38;CALZADO;OJOTAS Y CHINELAS;OJOTAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641529 - 17986 GRENDHA OJOTA MODA 2021;17986 GRENDHA OJOTA MODA 2021 BEIGE 38;GRENDHA
1,00;EVAPLAS S.A. (HARENNA);5.447,00;VERANO MODA;02/01/2023;VERDE AGUA;37;CALZADO;OJOTAS Y CHINELAS;CHINELA MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641466 - 227 HARENNA CHINELA 2021;227 HARENNA CHINELA 2021 VERDE AGUA 37;HARENNA
1,00;INDUMENTARIA PAMPEANA S.A.;12.912,35;CLASICO;02/01/2023;GRIS;44;CALZADO;TREKKING;ZAPATILLAS TREKKING;;630146 - TOREK/H KIOSHI ZAPATILLA TREKKING 2021;TOREK/H KIOSHI ZAPATILLA TREKKING 2021 GRIS 44;KIOSHI
1,00;RIMON CASSIS E HIJOS S.A.;33.590,00;CLASICO;02/01/2023;NEGRO/GRIS;43;CALZADO;TREKKING;ZAPATILLAS TREKKING;;642661 - TAYLOR RINGO ZAPATILLA TREK 2022;TAYLOR RINGO ZAPATILLA TREK 2022 NEGRO/GRIS 43;RINGO
1,00;DESCANSAR S.A.;10.989,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644400 - 50008 DESCANSAR REPOSERA 2022;50008 DESCANSAR REPOSERA 2022 VARIOS UNICO;DESCANSAR
1,00;GLOBAL BRANDS S.A.;8.577,50;VERANO;02/01/2023;ROSA;37;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;;643992 - 61690 RIDER SANDALIA PLAY 2022;61690 RIDER SANDALIA PLAY 2022 ROSA 37;RIDER
1,00;GLOBAL BRANDS S.A.;8.577,50;VERANO;02/01/2023;NEGRO;40;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643992 - 61690 RIDER SANDALIA PLAY 2022;61690 RIDER SANDALIA PLAY 2022 NEGRO 40;RIDER
